id,place_name,county,country,grid_reference,easting,northing,latitude,longitude,postcode_area,type
1,A' Chill,Highland,Scotland,NG2605,126500,805500,57.05909,-6.51277,PH44 4,Other
2,Aaron's Hill,Surrey,England,SU9543,495500,143500,51.18276,-0.63503,GU7 2,Other
3,Ab Kettleby,Leicestershire,England,SK7223,472500,323500,52.80419,-0.92601,LE14 3,Other
4,Ab Lench,Worcestershire,England,SP0151,401500,251500,52.16177,-1.97949,WR11 4,Other
5,Abbas Combe,Somerset,England,ST7022,370500,122500,51.00113,-2.42178,BA8 0,Other
6,Abberley,Worcestershire,England,SO7467,374500,267500,52.30502,-2.37541,WR6 6,Other
7,Abberton,Worcestershire,England,SO9953,399500,253500,52.17975,-2.00873,WR10 2,Other
8,Abberton,Essex,England,TM0019,600500,219500,51.83810,0.90891,CO5 7,Other
9,Abbess End,Essex,England,TL5711,557500,211500,51.78000,0.28172,CM5 0,Other
10,Abbess Roding,Essex,England,TL5711,557500,211500,51.78000,0.28172,CM5 0,Other
11,Abbey,Devon,England,ST1410,314500,110500,50.88764,-3.21690,EX15 3,Other
12,Abbey Dore,Herefordshire,England,SO3830,338500,230500,51.96955,-2.89663,HR2 0,Other
13,Abbey Field,Essex,England,TL9924,599500,224500,51.88336,0.89730,CO2 7,Other
14,Abbey Gate,Devon,England,SY2997,329500,97500,50.77278,-3.00118,EX13 5,Other
15,Abbey Gate,Kent,England,TQ7558,575500,158500,51.29857,0.51599,ME14 3,Other
16,Abbey Green,Shropshire,England,SJ5033,350500,333500,52.89665,-2.73726,SY13 2,Other
17,Abbey Green,Staffordshire,England,SJ9757,397500,357500,53.11468,-2.03880,ST13 8,Other
18,Abbey Hey,Greater Manchester,England,SJ8996,389500,396500,53.46514,-2.15963,M18 8,Other
19,Abbey Hulton,Staffordshire,England,SJ9148,391500,348500,53.03371,-2.12820,ST2 8,Other
20,Abbey Mead,Surrey,England,TQ0467,504500,167500,51.39692,-0.49929,KT16 8,Other
21,Abbey St Bathans,Scottish Borders,Scotland,NT7662,376500,662500,55.85512,-2.37696,TD11 3,Other
22,Abbey Village,Lancashire,England,SD6422,364500,422500,53.69772,-2.53915,PR6 8,Other
23,Abbey Wood,Greenwich - Greater London,England,TQ4678,546500,178500,51.48648,0.10859,SE2 0,Other
24,Abbey Yard,Dumfries and Galloway,Scotland,NX7364,273500,564500,54.95903,-3.97713,DG7 2,Other
25,Abbeycwmhir,Powys,Wales,SO0571,305500,271500,52.33342,-3.38828,LD1 6,Other
26,Abbeydale,South Yorkshire,England,SK3282,432500,382500,53.33841,-1.51337,S7 2,Other
27,Abbeydale,Gloucestershire,England,SO8616,386500,216500,51.84693,-2.19738,GL4 5,Other
